file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,445,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,7
style.css,446,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,71
style.css,447,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,0
style.css,448,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,0
style.css,449,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,68
style.css,450,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,19
style.css,451,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,15
style.css,452,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,17
style.css,453,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,0
style.css,454,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,0
style.css,455,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,31
style.css,456,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,26
style.css,457,css,dc72bd7c,Peter Shamoun,2025-02-08,18:37:19,-08:00,2025-02-08T18:37:19-08:00,0,17
